id,Polarity,Tonality,Contradictions,Rhetorical Techniques,Propaganda Methods,Logical Errors
5870,negative,aggressive,no,"hyperbole, straw man, direct address","ad hominem, fearmongering, disinformation",appeal to emotion
5871,neutral,informative,no,"statistical evidence, authority reference","appeal to statistics, bandwagon",hasty generalization
5872,negative,critical,no,"repetition, appeal to emotion, loaded language","scapegoating, fearmongering, card stacking",hasty generalization
5873,negative,critical,no,"allusion, concessive clause","fearmongering, appeal to emotion",red herring
5874,negative,critical,no,"anecdote, sarcasm","ad hominem, appeal to emotion",hasty generalization
5875,neutral,critical,yes,"appeal to authority, contrast, repetition","name-calling, demonization, card stacking","['straw man', 'hasty generalization']"
5876,neutral,analytical,yes,"comparative analysis, temporal reference, contrast","cherry-picking data, downplaying negative aspects, appeal to authority","['hasty generalization', 'false dichotomy']"
5877,negative,critical,no,"comparison, appeal to emotion, anaphora","fearmongering, name-calling, transfer",hasty generalization
5878,negative,critical,yes,"appeal to authority, loaded language","fearmongering, bandwagon",hasty generalization
5879,neutral,fact-based,no,"appeal to authority, contrast","card stacking, loaded language",hasty generalization
5880,positive,defensive,yes,"causal argument, statistical argument, framing","appeal to emotion, ad hominem","['post hoc ergo propter hoc', 'hasty generalization']"
5881,negative,critical,yes,"contrast, appeal to authority, anecdote","fear mongering, scapegoating",hasty generalization
5882,negative,critical,yes,"appeal to emotion, anaphora, metaphor","card stacking, glittering generalities, ad hominem","hasty generalization, false cause"
5883,negative,alarming,yes,"juxtaposition, anecdote","fear-mongering, simplification",hasty generalization
5884,negative,critical,yes,"hyperbole, appeal to authority, anecdote","fearmongering, ad hominem, cherry-picking statistics","hasty generalization, begging the question"
5885,negative,critical,yes,"metaphor, hyperbole, negation","fearmongering, demonization, simplification","hasty generalization, false dichotomy"
5886,positive,optimistic,yes,"hyperbole, appeal to authority, contrast","fear-mongering, bandwagon",no fallacy
5887,neutral,informative,yes,"ellipsis, anecdote","appeal to authority, contradictory evidence",hasty generalization
5888,negative,critical,yes,"hyperbole, contrast, clarification","scare tactics, ad hominem, emotional appeal","['false dichotomy', 'slippery slope']"
5889,negative,aggressive,no,"hyperbole, anaphora, allusion","fearmongering, demonization, selective omission",hasty generalization
5890,negative,critical,no,"juxtaposition, anecdote","ad hominem, appeal to emotion",strawman argument
5891,negative,aggressive,no,"hyperbole, alliteration, colloquialism","fear-mongering, bandwagon",overgeneralization
5892,negative,condemnatory,yes,"emotive language, appeal to fear, contrast","demonization, scapegoating, loaded language",straw man fallacy
5893,negative,serious,no,"statistics, anecdotal evidence","appeal to fear, bandwagon",red herring
5894,neutral,optimistic,yes,"contrast, appeal to effectiveness","glittering generalities, euphemism",ambiguity
5895,negative,critical,yes,"comparative rhetoric, anecdotal evidence","appeal to emotion, cherry-picking data",hasty generalization
5896,negative,accusatory,no,"emphasis, anecdotal evidence, emotional appeal","selective omission, card stacking, name-calling",hasty generalization
5897,neutral,cautious,yes,"appeal to ethos, contradictory statement","omission, scare tactics",fallacy of composition
5898,neutral,defensive,yes,"appeal to future generations, contrast, reframing","misleading statistics, scapegoating, data manipulation",post hoc ergo propter hoc
5899,neutral,informative,no,"appeal to authority, data presentation","misleading emphasis, appeal to popularity",non-sequitur
5900,negative,critical,yes,"anaphora, loaded language","card stacking, glittering generalities",hasty generalization
5901,neutral,informative,yes,"enumeratio, antithesis","appeal to emotion, oversimplification",fallacy of composition
5902,negative,critical,no,"conditional statement, hyperbole, juxtaposition, loaded language","demonization, scare tactics, appeal to fear","false dichotomy, sweeping generalization"
5903,negative,alarmist,yes,"hyperbole, appeal to emotion","fearmongering, selective omission",['slippery slope']
5904,negative,serious,yes,"hyperbole, imagery","appeal to authority, loaded language","slippery slope, hasty generalization"
5905,negative,critical,yes,"ad hominem, appeal to emotion, false dilemma","fearmongering, cherry-picking, demonization","['straw man', 'post hoc']"
5906,neutral,serious,no,"anecdote, inclusive language","appeal to emotion, appeal to authority",faulty causation
5907,negative,critical,no,"contrast, repetition","scare tactics, card stacking",hasty generalization
5908,negative,critical,yes,"exaggeration, appeal to emotion, statistical reference","fearmongering, selective storytelling, anecdotal evidence","['hasty generalization', 'cherry picking']"
5909,neutral,cautionary,yes,"contrast, appeal to authority, inclusive language","scapegoating, fear mongering","['hasty generalization', 'false dilemma']"
5910,neutral,defensive,no,"euphemism, anecdote, appeal to ethos","name-calling, card stacking, bandwagon",hasty generalization
5911,negative,alarmist,yes,"appeal to authority, quoting","fear-mongering, cherry-picking","['hasty generalization', 'non sequitur']"
5912,negative,aggressive,yes,"demonization, hyperbole, emotional appeal","appeal to emotion, scapegoating, fear-mongering","['hasty generalization', 'straw man']"
5913,negative,critical,no,"ad hominem, appeal to emotion, loaded language","fearmongering, card stacking, transfer","['false cause', 'hasty generalization']"
5914,negative,critical,no,"appeal to authority, contrast, emotional appeal","name-calling, card stacking, glittering generalities",straw man argument
5915,negative,critical,yes,"contrast, hyperbole, overgeneralization","cherry picking, misleading statistics",post hoc
5916,negative,concerned,yes,"quoting, counterargument, appeal to authority","fearmongering, bandwagon, cherry-picking",hasty generalization
5917,negative,sardonic,no,"rhetorical question, hyperbole","fearmongering, diminishment",appeal to consequences
5918,negative,cynical,no,"hyperbole, comparative analysis, anecdotal evidence","fearmongering, ad hominem, cherry-picking",false dilemma
5919,positive,optimistic,no,"hyperbole, comparative","appeal to authority, numbers and statistics",none
5920,negative,accusatory,no,"hyperbole, loaded language","fear-mongering, demonization",straw man fallacy
5921,negative,critical,no,"causal reasoning, hyperbole, anecdote","scapegoating, appeal to fear, emotional appeal",post hoc ergo propter hoc
5922,positive,optimistic,yes,"statistics, anaphora, engagement","fear appeal, cherry-picking",hasty generalization
5923,neutral,informative,yes,"historical context, contrast","fear appeal, selective quoting",appeal to authority
5924,negative,critical,no,"hyperbole, generalization","ad hominem, fearmongering",hasty generalization
5925,negative,critical,yes,"use of statistics, anecdotal evidence, appeal to emotion","demonization, fear-mongering, cherry-picking","['hasty generalization', 'false dichotomy']"
5926,negative,serious,no,"statistics, anecdotal evidence","fear appeal, bandwagon",hasty generalization
5927,negative,accusatory,no,"anaphora, allusion","demonization, ad hominem",hasty generalization
5928,neutral,formal,no,"anecdotal evidence, authority appeal","fearmongering, card stacking",hasty generalization
5929,neutral,informative,no,"implied relationships, contrast","misleading implication, appeal to authority","['ambiguity', 'non sequitur']"
5930,negative,informative,no,"numbers/statistics, rhetorical questions, historical reference","appeal to fear, bandwagon, selective omission",hasty generalization
5931,negative,critical,yes,"anecdote, comparison, quotations","appeal to authority, bandwagon, false dilemma","['hasty generalization', 'false analogy']"
5932,negative,critical,no,"anaphora, contrast","scapegoating, loaded language",hasty generalization
5933,negative,alarming,no,"emotive language, hyperbole, anecdotal evidence","fear mongering, loaded language, scapegoating","post hoc, hasty generalization"
5934,positive,assertive,no,"quantification, comparative, hyperbole","appeal to authority, bandwagon, red herring","['post hoc', 'false dichotomy']"
5935,negative,defensive,yes,"hyperbole, anaphora","fear appeal, euphemism",post hoc ergo propter hoc
5936,negative,sarcastic,no,"hyperbole, satire, juxtaposition","emotional appeal, simplification, anecdotal evidence",hasty generalization
5937,positive,assertive,no,"anaphora, contrasting","testimonial, bandwagon",hasty generalization
5938,positive,optimistic,no,"exaggeration, comparison","appeal to emotion, cherry-picking","['hasty generalization', 'misleading information']"
5939,negative,concerned,no,"use of statistics, appeal to emotion","fearmongering, scapegoating",post hoc ergo propter hoc
5940,negative,alarming,no,"quantitative evidence,  appeal to authority,  temporal reference","cherry-picking,  fear mongering,  scapegoating",hasty generalization
5941,negative,critical,no,"appeal to fear, generalization","scare tactics, card stacking",hasty generalization
5942,neutral,informative,yes,"contradictory statements, anecdotal evidence","appeal to authority, normalization",ad-hominem fallacy
5943,negative,cynical,yes,"hyperbole, appeal to emotion, imagery","scapegoating, simplification, fearmongering","hasty generalization, post hoc ergo propter hoc"
5944,positive,informative,no,"comparison, hyperbole, appeal to authority","card stacking, bandwagon, emotional appeal",hasty generalization
5945,negative,accusatory,no,"anaphora, contrast, appeal to emotion","scapegoating, fear-mongering",hasty generalization
5946,negative,alarmist,yes,"anecdote, appeal to fear, cherry-picking","bandwagon, false dilemma, scare tactics",hasty generalization
5947,neutral,reflective,yes,"allusion, parallelism, collective pluralization","appeal to authority, bandwagon",hasty generalization
5948,positive,optimistic,no,"enumeratio, anecdote","bandwagon, fear appeal",none
5949,positive,inspirational,yes,"anecdote, ethos, appeal to emotion","motivational appeal, association, distraction","['hasty generalization', 'anecdotal evidence']"
5950,positive,optimistic,no,"anaphora, anecdote, appeal to consequences","selective reporting, testimonial",post hoc ergo propter hoc
5951,neutral,informative,yes,"ellipsis, appeal to authority","oversimplification, scapegoating",false cause
5952,negative,critical,yes,"hyperbole, appeal to authority, implying consequences","selective omission, statistical manipulation, creating fear of lack",hasty generalization
5953,neutral,analytical,no,"anecdote, comparison, hyperbole","bandwagon, appeal to emotion",hasty generalization
5954,negative,alarmist,yes,"hyperbole, emotional appeal, cause and effect","scare tactics, demonization, red herring",post hoc fallacy
5955,negative,critical,yes,"contrast, hyperbole, appeal to emotion","name-calling, card stacking, testimonial","['hasty generalization', 'post hoc']"
5956,positive,inspiring,no,"emotional appeal, cultural reference, anecdotal evidence","fearmongering, appeal to authority, loaded language",red herring
5957,positive,optimistic,yes,"anecdotal evidence, hyperbole, imagery","appeal to authority, card stacking, fear mongering","['hasty generalization', 'false dilemma']"
5958,neutral,informative,yes,"appeal to authority, counterarguments, assertion","distraction, emotional appeal",false cause
5959,negative,critical,no,"repetition, contrast, allusion","demonizing the opposition, fearmongering",straw man
5960,negative,critical,yes,"authority appeal, personal experience, anecdote","ad hominem, bandwagon, fear appeal",hasty generalization
5961,positive,optimistic,yes,"enumeration, anecdote","appeal to authority, glittering generalities","['false dilemma', 'ambiguity']"
5962,neutral,formal,no,"appeal to authority, dichotomy","bandwagon, fear appeal",hasty generalization
5963,negative,alarming,yes,"hyperbole, appeal to emotion, causal language","scare tactics, simplicity, cherry-picking",post hoc fallacy
5964,positive,optimistic,no,"assertion, appeal to nationalism","bandwagon, cherry-picking",non sequitur
5965,negative,critical,no,"loaded language, appeal to emotion, specificity","scare tactics, testimonial, appeal to popularity",red herring
5966,neutral,informative,no,"authoritative statement, quantification, conditional language","appeal to authority, selective use of information, emotional appeal","hasty generalization, non sequitur"
5967,negative,critique,yes,"anecdotal evidence, appeal to authority, contradiction","misleading statistics, fearmongering",cherry picking
5968,negative,critical,yes,"specificity, contrast, anecdote","fearmongering, ad hominem, cherry-picking",hasty generalization
5969,positive,optimistic,no,"hyperbole, allusion","glittering generalities, comparison",red herring
5970,positive,optimistic,no,"hyperbole, appeal to tradition","bandwagon, scare tactics",hasty generalization
5971,neutral,informative,yes,"statistics, timeframe reference","appeal to authority, contradiction",none
5972,neutral,defensive,yes,"appeal to emotion, anecdotal evidence, juxtaposition","cherry-picking, ad hominem, false dichotomy",strawman fallacy
5973,positive,optimistic,no,"hyperbole, alliteration, authority appeal","testimonial, appeal to emotion, fear-mongering",none
5974,positive,optimistic,no,superlative,"bandwagon, appeal to authority",none
5975,neutral,informative,no,"hyperbole, statistic reference","fearmongering, bandwagon",none
5976,negative,critical,yes,"causal relationship, statistical evidence, anecdotal evidence","fear-mongering, deflection, cherry-picking data",post hoc ergo propter hoc
5977,negative,assertive,no,"authority appeal, emotional appeal, presumptive agreement","bandwagon, appeal to tradition, misleading information",slippery slope
5978,negative,serious,no,"historical reference, superlative","appeal to authority, fearmongering",hasty generalization
5979,negative,cynical,yes,"appeal to authority, overgeneralization, euphemism","cherry-picking, misleading statistics","straw man, false equivalence"
5980,negative,serious,no,"juxtaposition, appeal to logic","fearmongering, misleading statistics",oversimplification
5981,negative,critical,no,"emotional appeal, hyperbole, implicature","fear-mongering, bandwagon, scapegoating",false cause
5982,neutral,descriptive,no,"anecdotal evidence, appeal to authority, implying consequences","fearmongering, bandwagon, card stacking",hasty generalization
5983,neutral,factual,yes,"historical allusion, generalization","bandwagon, omission",hasty generalization
5984,neutral,cautionary,yes,"anecdote, hyperbole","emotional appeal, appeal to expertise",hasty generalization
5985,negative,critical,yes,"quoting, hyperbole, dichotomy","fearmongering, cherry-picking, misleading statistics","['straw man', 'false dichotomy']"
5986,neutral,informative,yes,"statistical evidence, authority","bandwagon, appeal to data",limited comparison error
5987,negative,critical,yes,"comparative analysis, statistical evidence","fear appeal, selective omission",hasty generalization
5988,neutral,descriptive,yes,"historical reference, emphasis, contrasting ideas","appeal to authority, fear appeal, cherry-picking",hasty generalization
5989,neutral,analytical,yes,"generalization, causal link, contextualization","statistical manipulation, anecdotal evidence, fear appeal",false cause
5990,negative,critical,yes,"anaphora, contrast","appeal to authority, demonization",strawman
5991,negative,defensive,yes,"contradiction, anecdote, quoting","appeal to authority, fear-mongering, misleading context",red herring
5992,neutral,informative,no,"statistics, contrast, appeal to emotion","card stacking, appeal to fear",hasty generalization
5993,negative,concerned,no,"statistical evidence, metaphor, repetition","selective omission, appeal to authority, fearmongering",hasty generalization
5994,neutral,informative,yes,"repetition, contrast, amplification","card stacking, ad hominem",straw man
5995,negative,alarming,no,"hyperbole, imagery, contrast","fear, emotional appeal, anecdotal evidence",hasty generalization
5996,negative,concerned,no,"statistical evidence, anecdotal evidence, comparative analysis","fearmongering, glittering generalities, bandwagon",hasty generalization
5997,positive,assertive,no,"comparison, temporal reference, emphasis","selective use of statistics, appeal to authority, demonization","['hasty generalization', 'straw man']"
5998,negative,critical,no,"quoting, dichotomy","demonization, appeal to emotion",strawman argument
5999,negative,critical,no,"hyperbole, anecdote, irony","bandwagoning, misleading statistics, scapegoating","['hasty generalization', 'red herring']"
6000,negative,critical,no,"cherry-picking, framing, emotive language","card stacking, use of statistics, false dilemma",hasty generalization
6001,negative,critical,yes,"hyperbole, appeal to fear, loaded language","scapegoating, cherry-picking",non sequitur
6002,neutral,explanatory,yes,"historical reference, statistical evidence","appeal to fear, bandwagon",hasty generalization
6003,neutral,informative,no,"appeal to authority, quantitative support","card stacking, loaded language",hasty generalization
6004,negative,critical,no,"euphemism, anecdote","scapegoating, bandwagon",faulty causality
6005,negative,critical,no,"repetition, anecdote, pathos","selective omission, appeal to emotion",hasty generalization
6006,positive,persuasive,no,"appeal to authority, inclusive language, vagueness","bandwagon, fear appeal",hasty generalization
6007,negative,critical,yes,"appeal to majority, concession","bandwagon, misleading comparisons",straw man
6008,neutral,informative,yes,"contrast, appeal to authority, understatement","card stacking, simplification","['post hoc', 'hasty generalization']"
6009,negative,accusatory,yes,"denial, loaded language, appeal to emotion","demonization, scare tactics, false dichotomy",hasty generalization
6010,negative,critical,no,"statistical evidence, contrast","statistics manipulation, appeal to emotion",hasty generalization
6011,negative,critical,yes,"hyperbole, juxtaposition","appeal to emotion, selective omission",straw man
6012,positive,assertive,yes,"hyperbole, contrast","testimonial, bandwagon",ambiguity
6013,positive,assertive,yes,"hyperbole, juxtaposition, anaphora","plain folks, fear-mongering, cherry-picking",hasty generalization
6014,neutral,informative,yes,"hypothetical scenario, statistical evidence","appeal to emotion, fear-mongering","['slippery slope', 'fallacy of hasty generalization']"
6015,neutral,assertive,no,"appeal to authority, historical reference, anecdotal evidence","emotional appeal, false dichotomy",oversimplification
6016,negative,alarmist,no,"repetition, imagery, hyperbole","appeal to emotion, demonization, fear mongering","['false dilemma', 'hasty generalization']"
6017,negative,accusatory,no,"appeal to emotion, hyperbole, allusion","demonization, cherry picking, fearmongering",strawman argument
6018,negative,cynical,yes,"hyperbole, anaphora","straw man, appeal to emotion",hasty generalization
6019,neutral,informative,no,"appeal to authority, statistics, contrast","bandwagon, fearmongering, loaded language",hasty generalization
6020,neutral,informative,yes,"anecdote, statistical evidence","card stacking, bandwagon",hasty generalization
6021,positive,optimistic,no,"comparative statement, temporal reference","selective omission, appeal to authority",hasty generalization
6022,negative,critical,yes,"appeal to authority, contradictory statements, quoting","card stacking, name-calling","['post hoc ergo propter hoc', 'straw man']"
6023,neutral,defensive,yes,"repetition, contradiction, apostrophe","appeal to authority, fear appeal, cherry picking",hasty generalization
6024,neutral,cautious,yes,"analogy, historical reference","fear appeal, selective omission",post hoc
6025,negative,accusatory,no,"appeal to authority, hyperbole, allusion","fearmongering, bandwagon",hasty generalization
6026,negative,confrontational,yes,"ambiguity, contrast, historical referencing","ad hominem, misleading statistics, appeal to authority",strawman argument
6027,negative,skeptical,yes,"conditional statement, appeal to authority","misleading statistics, emotional appeal",hasty generalization
6028,positive,assertive,no,"appeal to history, contrast, anecdotal evidence","testimonial, demonization, appeal to fear",no fallacy
6029,negative,critical,yes,"quoting authority, dichotomy","appeal to fear, exaggeration",straw man
6030,neutral,informative,yes,"statistical evidence, appeal to authority","bandwagon, demonization",non sequitur
6031,negative,cynical,yes,"exaggeration, appeal to authority, analogy","card stacking, bandwagon",oversimplification
6032,negative,critical,yes,"appeal to authority, contradiction, hyperbole","scare tactics, cherry-picking, appeal to emotion",false dichotomy
6033,neutral,definitive,no,"assertion, hyperbole","fear appeal, bandwagon","['hasty generalization', 'begging the question']"
6034,negative,urgent and critical,no,"emotional appeal, repetition, direct address","scapegoating, cherry-picking, comparative framing","['hasty generalization', 'false dichotomy']"
6035,negative,cautionary,no,"metaphor, anecdotal evidence","fearmongering, appeal to authority","['hasty generalization', 'post hoc ergo propter hoc']"
6036,negative,critical,no,"framing, quoting, appeal to injustice","demonization, selectivity, emotional appeal","hasty generalization, false dilemma"
6037,positive,assertive,no,"enumeratio, appeal to authority","bandwagon, fear-mongering",false dichotomy
6038,positive,defensive,yes,"comparative argument, inclusive language, hyperbole","bandwagon, ad hominem, selective exaggeration",hasty generalization
6039,negative,cynical,no,"statistics, anecdote, contrast","appeal to authority, scapegoating",hasty generalization
6040,neutral,skeptical,yes,"ellipsis, appeal to authority, contrast","disinformation, false equivalence, appeal to emotion",false cause
6041,neutral,cautious,yes,"hyperbole, contrast","spin, cherry-picking",false dichotomy
6042,negative,informal and concerned,yes,"colloquial language, metaphor, direct address","appeal to emotion, testimonial, fearmongering",appeal to authority
6043,negative,serious,no,"appeal to emotion, slippery slope","fearmongering, bandwagon",hasty generalization
6044,negative,critical,yes,"appeal to authority, loaded language, contrast","bandwagon, fear mongering, cherry picking","hasty generalization, post hoc"
6045,negative,concerned,no,"exclusion, temporal framing, contrast","emotional appeal, anecdotal evidence, fear appeal",hasty generalization
6046,negative,alarmist,no,"statistical evidence, appeal to authority, imagery","fear-mongering, demonization, bandwagon",hasty generalization
6047,negative,concerned,yes,"metaphor, hyperbole, anaphora","appeal to emotion, testimonial, data manipulation",overgeneralization
6048,negative,critical,yes,"ellipsis, repetition","fearmongering, demonization",strawman fallacy
6049,negative,concerned,no,"metaphor, anecdote","fear appeal, labeling",none
6050,neutral,informative,no,"anecdote, appeal to authority, repetition","bandwagon, emotional appeal",hasty generalization
6051,negative,critical,no,"scare tactics, appeal to emotion, selective omission","demonization, misleading statistics",hasty generalization
6052,neutral,informative,no,"statistical evidence, reference to authority, anecdote","appeal to emotion, bandwagon, euphemism","hasty generalization, ambiguity"
6053,neutral,formal and informative,no,"appeal to authority, syllogism, loaded language","glittering generalities, card stacking, name-calling",post hoc ergo propter hoc
6054,negative,critical,yes,"contrast, appeal to authority, causal link","name-calling, testimonial",false cause
6055,negative,critical,yes,"contrast, implied consequence","fear appeal, appeal to authority",non sequitur
6056,negative,serious,yes,"juxtaposition, hyperbole, anecdote","emotional appeal, bandwagon, scapegoating",hasty generalization
6057,neutral,balanced and objective,yes,"anecdote, statistics, contrast","bandwagon, fear-mongering, selective omission",cherry-picking
6058,neutral,objective,no,"historical reference, counterfactual","appeal to authority, presenting selective information",non-sequitur
6059,negative,cautionary,no,"repetition, inclusive language","fear-mongering, authority appeal",none
6060,neutral,analytical,no,"comparative analysis,  ellipsis","appeal to authority,  selective statistics",false comparison
6061,neutral,informative,no,"appeal to authority, quantification","selective omission, fear appeal",ambiguity
6062,negative,cautionary,yes,"metaphor, euphemism, statistical comparison","selectivity, emotional appeal, simple language",oversimplification
6063,negative,accusatory,no,"hyperbole, loaded language, antithesis","fear mongering, appeal to authority, demonization","cherry picking, strawman"
6064,neutral,informative,yes,"contrast, juxtaposition, emphasis","appeal to accessibility, selective omission, spinning",straw man
6065,negative,serious,no,"hyperbole, comparison","fearmongering, appeal to authority",appeal to ignorance
6066,negative,concerned,no,"appeal to emotion, inclusive language","fearmongering, bandwagon",appeal to fear
6067,negative,indignant,yes,"hyperbole, appeal to emotion, causal assertion","scare tactics, bandwagon, selective omission",['post hoc ergo propter hoc']
6068,positive,optimistic,no,"anaphora, contrast, quotation","emotional appeal, bandwagon",hasty generalization
6069,negative,sarcastic,yes,"hyperbole, metaphor, allusion","appeal to emotion, demonization, reductio ad absurdum",straw man
6070,negative,critical,no,"imagery, appeal to ethos","card stacking, plain folks",hasty generalization
6071,negative,critical,no,"appeal to emotion, use of statistics, slippery slope","demonization, fearmongering, selective quoting","['non sequitur', 'red herring']"
6072,negative,concerns,yes,"appeal to authority, hyperbole, repetition","fearmongering, scare tactics",hasty generalization
6073,negative,critical,no,"hyperbole, anaphora","selective omission, appeal to fear",hasty generalization
6074,negative,aggressive,no,"ad hominem, loaded language, appeal to emotion","demonization, rhetorical question, selective omission",hasty generalization
6075,neutral,speculative,no,"conditional statement, appeal to authority","cherry picking, vague language",hasty generalization
6076,neutral,informative,yes,"metaphor, hyperbole, contrast","simplification, appeal to emotion, fear-mongering","['appeal to authority', 'hasty generalization']"
6077,negative,critical,yes,"contrast, direct quotation","ad hominem, fearmongering",strawman argument
6078,neutral,informative,no,"contrast, hyperbole, statistics","appeal to authority, fear-mongering",non-sequitur
6079,negative,cautionary,no,"appeal to authority, generalization, fear appeal","demonization, scapegoating, fearmongering",hasty generalization
6080,positive,assertive,yes,"quoting authority, personal testimony","appeal to authority, omission",hasty generalization
6081,negative,critical,no,"ad hominem, antithesis","unilateralism, appeal to emotion",oversimplification
6082,neutral,informational,yes,"contrast, exaggeration","scapegoating, fear appeals",hasty generalization
6083,negative,critical,yes,"ad hominem, scare tactics, false equivalence","appeal to fear, red herring, loaded language","['slippery slope', 'straw man']"
6084,negative,critical,yes,"hyperbole, irony","scapegoating, appeal to emotion",false dilemma
6085,negative,accusatory,yes,"meta-argumentation, pathos, hyperbole","ad hominem, fear-mongering, demonization",fallacy of composition
6086,negative,critical,yes,"statistical evidence, anecdotal evidence","fear appeals, demonization",hasty generalization
6087,negative,accusatory,no,"hyperbole, anecdotal evidence, pathos","fear-mongering, demonization, disinformation",straw man fallacy
6088,positive,optimistic,no,"authority appeal, quantitative evidence, pathos","glittering generalities, testimonials, plain folks",fallacy of incomplete evidence
6089,negative,cautionary,no,"hyperbole, comparison","fear-mongering, appeal to emotion",slippery slope
6090,negative,accusatory,no,"allusion, hyperbole, antithesis","scare tactics, bandwagon, cherry-picking","['strawman', 'false dichotomy']"
6091,negative,critical,no,"euphemism, anecdotal evidence, appeal to authority","emotional appeal, selective statistics",false dichotomy
6092,negative,urgent,no,"quantification, conditional language, appeal to authority","fearmongering, confirmation bias","['hasty generalization', 'appeal to fear']"
6093,positive,optimistic,no,"anecdote, contrast, appeal to authority","glittering generalities, card stacking, name-calling",hasty generalization
6094,neutral,analytical,yes,"contrast, appeal to authority, generalization","distraction, selective omission, innnuendo","hasty generalization, false dichotomy"
6095,positive,optimistic,no,"cause and effect, reassurance","appeal to fear, positive framing",none
6096,negative,cautionary,no,"appeal to authority, analogy, concession","demonization, fearmongering, repetition",false dilemma
6097,negative,critical,yes,"contrast, hyperbole, sarcasm","reductio ad absurdum, ad hominem, bandwagon",hasty generalization
6098,negative,alarmist,yes,"appeal to emotion, dichotomy","scare tactics, name-calling",post hoc
6099,positive,optimistic,no,"hyperbole, inclusive language","card-stacking, transfer",strawman
6100,neutral,informative,no,"anecdote, authority","testimonial, fear appeal",false cause
6101,neutral,analytical,yes,"quoting, appeal to authority, simplification","card stacking, weasel words, glittering generalities",hasty generalization
6102,negative,alarmist,no,"fearmongering, pathos","scare tactics, misleading framing",appeal to fear
6103,negative,cynical,yes,"contrast, allusion, sequential listing","demonization, appeal to history, fearmongering",false dilemma
6104,negative,defensive,no,"redirection, appeal to authority","deflection, comparison",red herring
6105,neutral,assertive,no,"authoritative appeal, direct address, repetition","card stacking, bandwagon, appeal to fear",hasty generalization
6106,negative,persuasive,no,"conditional statement, anaphora, contrast","appeal to emotion, scapegoating, false dilemma",false dilemma
6107,negative,critical,no,"appeal to urgency, statistical evidence, contrasting","fear appeal, anecdotal evidence",hasty generalization
6108,neutral,informative,no,"antithesis, clarity","appeal to authority, fearmongering",no logical fallacy
6109,neutral,informative,no,"comparative analysis, appeal to authority","reductio ad absurdum, bandwagon",false equivalence
6110,positive,optimistic,no,"anecdotal evidence, temporal framing, hyperbole","cherry-picking, false dichotomy, appeal to emotion","['causal fallacy', 'overgeneralization']"
6111,negative,alarmist,no,"fearmongering, euphemism","scapegoating, cherry-picking","['hasty generalization', 'overgeneralization']"
6112,neutral,analytical,no,"appeal to emotion, statistical evidence, concession","card stacking, transfer, bandwagon",hasty generalization
6113,negative,alarmist,yes,"metaphor, hyperbole, cause and effect","fearmongering, demonization, oversimplification",false cause
6114,negative,alarmist,no,"comparative statistics, appeal to authority","false equivalence, scare tactics",hasty generalization
6115,negative,cautionary,no,"hyperbole, appeal to fear","scare tactics, attention-grabbing statements",hasty generalization
6116,neutral,objective,no,"allusion, rhetorical question","appeal to authority, selective omission",ad hominem
6117,negative,critical,no,"hypothetical scenario, appeal to authority, use of monetary metaphor","fearmongering, character assassination, selective statistics",post hoc
6118,negative,accusatory,yes,"exaggeration, appeal to emotion","scare tactics, demonization","['hasty generalization', 'straw man']"
6119,negative,critical,no,"hyperbole, appeal to authority","fear-mongering, bandwagon",hasty generalization
6120,negative,critical,yes,"anecdote, appeal to nationalism","scapegoating, fearmongering",hasty generalization
6121,negative,critically reflective,no,"statistical evidence, contrast, anecdote","bandwagon, ad hominem, fear mongering",hasty generalization
6122,negative,accusatory,no,"appeal to authority, loaded language, causal implication","scapegoating, emotional appeal, cherry-picking",post hoc ergo propter hoc
6123,negative,alarmist,yes,"fear-mongering, hyperbole","scare tactics, selective evidence",['post hoc ergo propter hoc']
6124,negative,critical,no,"personal anecdote, appeal to authority","demonization, omission","['hasty generalization', 'false attribution']"
6125,negative,urgent,no,"appeal to statistics, dramatic language","emotional appeal, selective reporting",appeal to ignorance
6126,negative,alarmist,no,"hyperbole, appeal to emotion","scare tactics, false dilemma",hasty generalization
6127,negative,critical,no,"hyperbole, comparative rhetoric, anaphora","appeal to fear, selective evidence, emotional appeal","['false dichotomy', 'ambiguity']"
6128,negative,alarmist,no,"use of statistics, causal relationship","fearmongering, cherry-picking",post hoc ergo propter hoc
6129,negative,accusatory,no,"repetition, appeal to authority, hyperbole","scare tactics, ad hominem, cherry-picking",hasty generalization
6130,negative,accusatory,yes,"ad hominem, appeal to fear, slippery slope","demonization, scapegoating",hasty generalization
6131,negative,critical,yes,"appeal to emotion, ambiguity, hyperbole","scare tactics, demonization, selective reporting","['hasty generalization', 'post hoc ergo propter hoc']"
6132,positive,assertive,no,"repetition, contrast, inclusive language","bandwagon, ad hominem, testimonial","hasty generalization, false dichotomy"
6133,neutral,critical,no,"allusion, enumeratio, antithesis","appeal to patriotism, ad hominem, card stacking",false dilemma
6134,negative,critical,yes,"juxtaposition, appeal to emotion","cherry-picking statistics, scapegoating",false analogy
6135,neutral,assertive,no,"hyperbole, comparative analysis","appeal to authority, statistics",cherry-picking
6136,neutral,objective,no,"chronological ordering, inclusive language","cherry-picking data, appeal to authority",hasty generalization
6137,negative,critical,no,"use of statistics, quoting authority, appeal to emotion","fear-mongering, demonization, simplification",hasty generalization
